"ENTREZID","ENSEMBL","SYMBOL"
"20980","ENSMUSG00000026452","Syt2"
"329252","ENSMUSG00000042793","Lgr6"
"171469","ENSMUSG00000026424","Gpr37l1"
"215690","ENSMUSG00000009418","Nav1"
"18772","ENSMUSG00000026413","Pkp1"
"76422","ENSMUSG00000087230","Mroh3"
"100503460","ENSMUSG00000097113","Gm19705"
"26424","ENSMUSG00000026398","Nr5a2"
"735252","ENSMUSG00000065565","Mir181a-1"
"723890","ENSMUSG00000065458","Mir181b-1"
"19264","ENSMUSG00000026395","Ptprc"
"338375","ENSMUSG00000026394","Atp6v1g3"
"545363","ENSMUSG00000100459","Gm5833"
"75546","ENSMUSG00000099808","1700019P21Rik"
"329260","ENSMUSG00000056268","Dennd1b"
"78229","ENSMUSG00000104900","4930596I21Rik"
"50702","ENSMUSG00000057037","Cfhr1"
"214403","ENSMUSG00000070594","Gm4788"
"545366","ENSMUSG00000033898","Cfhr2"
"12628","ENSMUSG00000026365","Cfh"
"240776","ENSMUSG00000052726","Kcnt2"
"19735","ENSMUSG00000026360","Rgs2"
"246709","ENSMUSG00000051079","Rgs13"
"50778","ENSMUSG00000026358","Rgs1"
"624910","ENSMUSG00000098509","Rgs21"
"64214","ENSMUSG00000026357","Rgs18"
"215378","ENSMUSG00000035131","Brinp3"
"102639566","ENSMUSG00000097754","Ptgs2os2"
"20028","ENSMUSG00000006007","Pdc"
"75584","ENSMUSG00000099447","2310030A07Rik"
"226499","ENSMUSG00000006010","Odr4"
"96875","ENSMUSG00000006014","Prg4"
"545370","ENSMUSG00000066842","Hmcn1"
"98685","ENSMUSG00000053286","Trmt1l"
"102466847","ENSMUSG00000106406","Mir7682"
"102640772","ENSMUSG00000100594","2810414N06Rik"
"269132","ENSMUSG00000032649","Colgalt2"
"19731","ENSMUSG00000026482","Rgl1"
"17970","ENSMUSG00000026480","Ncf2"
"226518","ENSMUSG00000042751","Nmnat2"
"16782","ENSMUSG00000026479","Lamc2"
"226519","ENSMUSG00000026478","Lamc1"
"74091","ENSMUSG00000042684","Npl"
"67792","ENSMUSG00000042671","Rgs8"
"24014","ENSMUSG00000066800","Rnasel"
"240816","ENSMUSG00000042641","Rgsl1"
"240817","ENSMUSG00000045968","Teddm2"
"240819","ENSMUSG00000047053","Teddm1a"
"14645","ENSMUSG00000026473","Glul"
"100503355","ENSMUSG00000066797","Zfp648"
"75233","ENSMUSG00000100221","4930532M18Rik"
"12290","ENSMUSG00000004110","Cacna1e"
"671336","ENSMUSG00000096950","Gm9530"
"207792","ENSMUSG00000033722","BC034090"
"16872","ENSMUSG00000026468","Lhx4"
"240832","ENSMUSG00000050565","Tor1aip2"
"329274","ENSMUSG00000015484","Fam163a"
"30935","ENSMUSG00000060519","Tor3a"
"72713","ENSMUSG00000033544","Angptl1"
"73435","ENSMUSG00000026592","Tex35"
"89867","ENSMUSG00000026589","Sec16b"
"240843","ENSMUSG00000004031","Brinp2"
"11899","ENSMUSG00000026587","Astn1"
"735253","ENSMUSG00000070103","Mir488"
"23850","ENSMUSG00000073530","Pappa2"
"72025","ENSMUSG00000047661","1600012P17Rik"
