"ENTREZID","ENSEMBL","SYMBOL"
"319157","ENSMUSG00000069274","H4c6"
"50708","ENSMUSG00000036181","H1f2"
"57441","ENSMUSG00000006715","Gmnn"
"20723","ENSMUSG00000045827","Serpinb9"
"71864","ENSMUSG00000021414","Fam217a"
"100503727","ENSMUSG00000102099","1700011B04Rik"
"380840","ENSMUSG00000046573","Lyrm4"
"71213","ENSMUSG00000044566","Cage1"
"105245","ENSMUSG00000038991","Txndc5"
"17828","ENSMUSG00000038982","Bloc1s5"
"102633880","ENSMUSG00000086693","A730081D07Rik"
"54326","ENSMUSG00000021364","Elovl2"
"67046","ENSMUSG00000021368","Tbc1d7"
"110052","ENSMUSG00000021377","Dek"
"70930","ENSMUSG00000021392","Nol8"
"268656","ENSMUSG00000021468","Sptlc1"
"75252","ENSMUSG00000113329","4930555G21Rik"
"14057","ENSMUSG00000021474","Sfxn1"
"28126","ENSMUSG00000025869","Nop16"
"105239","ENSMUSG00000034928","Rnf44"
"19336","ENSMUSG00000034789","Rab24"
"66494","ENSMUSG00000021486","Prelid1"
"26385","ENSMUSG00000074886","Grk6"
"432763","ENSMUSG00000034686","Prr7"
"212483","ENSMUSG00000021495","Fam193b"
"67511","ENSMUSG00000058569","Tmed9"
"218271","ENSMUSG00000021504","B4galt7"
"78521","ENSMUSG00000045767","B230219D22Rik"
"100503085","ENSMUSG00000014164","Klhl3"
"77134","ENSMUSG00000007836","Hnrnpa0"
"67339","ENSMUSG00000097717","1700066J03Rik"
"238673","ENSMUSG00000044934","Zfp367"
"218294","ENSMUSG00000033102","Cdc14b"
"66129","ENSMUSG00000021482","Prxl2c"
"19210","ENSMUSG00000021518","Ptdss1"
"78251","ENSMUSG00000090641","Zfp712"
"380855","ENSMUSG00000058900","Rsl1"
"218311","ENSMUSG00000051037","Zfp455"
"431706","ENSMUSG00000055341","Zfp457"
"408065","ENSMUSG00000078995","Zfp456"
"235907","ENSMUSG00000071281","Zfp65"
"22746","ENSMUSG00000058331","Zfp85"
"210009","ENSMUSG00000034617","Mtrr"
"407785","ENSMUSG00000021606","Ndufs6"
"218335","ENSMUSG00000021610","Clptm1l"
"105246","ENSMUSG00000057649","Brd9"
"77041","ENSMUSG00000021592","Arsk"
"80289","ENSMUSG00000035840","Lysmd3"
"105372","ENSMUSG00000041747","Utp15"
"218506","ENSMUSG00000041632","Mrps27"
"26886","ENSMUSG00000045273","Cenph"
"268697","ENSMUSG00000041431","Ccnb1"
"113002583","ENSMUSG00000118537","Shld3"
"238831","ENSMUSG00000021713","Ppwd1"
"16195","ENSMUSG00000021756","Il6st"
"268706","ENSMUSG00000047789","Slc38a9"
"218630","ENSMUSG00000042417","Ccno"
"320333","ENSMUSG00000096039","D830030K20Rik"
"108978","ENSMUSG00000096197","4930555G01Rik"
"73068","ENSMUSG00000039357","Fut11"
"66121","ENSMUSG00000063787","Chchd1"
"17423","ENSMUSG00000039308","Ndst2"
"435391","ENSMUSG00000063821","Dupd1"
"56249","ENSMUSG00000015971","Actr8"
"218865","ENSMUSG00000015970","Chdh"
"21881","ENSMUSG00000021957","Tkt"
"69019","ENSMUSG00000021917","Spcs1"
"104416","ENSMUSG00000021901","Bap1"
"110084","ENSMUSG00000019027","Dnah1"
"26363","ENSMUSG00000021900","Btd"
"105638","ENSMUSG00000021905","Dph3"
"52588","ENSMUSG00000037824","Tspan14"
"12793","ENSMUSG00000015759","Cnih1"
"68755","ENSMUSG00000055128","Cgrrf1"
"218977","ENSMUSG00000037544","Dlgap5"
"239083","ENSMUSG00000071470","Ccnb1ip1"
"11546","ENSMUSG00000036023","Parp2"
"11792","ENSMUSG00000035960","Apex1"
"18950","ENSMUSG00000115338","Pnp"
"497106","ENSMUSG00000068407","Rnase12"
"404319","ENSMUSG00000035932","Olfr750"
"105501","ENSMUSG00000040997","Abhd4"
"65107","ENSMUSG00000022175","Lrp10"
"74359","ENSMUSG00000022179","4931414P19Rik"
"239096","ENSMUSG00000059674","Cdh24"
"239099","ENSMUSG00000057156","Homez"
"105651","ENSMUSG00000072494","Ppp1r3e"
"68966","ENSMUSG00000022204","Ngdn"
"105663","ENSMUSG00000045691","Thtpa"
"28199","ENSMUSG00000022214","Dcaf11"
"56739","ENSMUSG00000002324","Rec8"
"105446","ENSMUSG00000002326","Gmpr2"
"56187","ENSMUSG00000040472","Rabggta"
"52585","ENSMUSG00000002332","Dhrs1"
"67518","ENSMUSG00000097933","1700039M10Rik"
"100041953","ENSMUSG00000061104","Sap18b"
"75965","ENSMUSG00000021969","Zdhhc20"
