"ENTREZID","ENSEMBL","SYMBOL"
"380975","ENSMUSG00000093550","Higd1c"
"74127","ENSMUSG00000037185","Krt80"
"64818","ENSMUSG00000067615","Krt81"
"246277","ENSMUSG00000023044","Csad"
"54615","ENSMUSG00000023052","Npff"
"15424","ENSMUSG00000022485","Hoxc5"
"751557","ENSMUSG00000076010","Mir615"
"724064","ENSMUSG00000065560","Mir148b"
"432995","ENSMUSG00000096215","Smim22"
"19041","ENSMUSG00000039457","Ppl"
"58239","ENSMUSG00000038055","Dexi"
"723899","ENSMUSG00000065449","Mir365-1"
"16136","ENSMUSG00000075370","Igll1"
"791069","ENSMUSG00000076288","Mir301b"
"195333","ENSMUSG00000022738","Gsc2"
"14724","ENSMUSG00000050761","Gp1bb"
"259071","ENSMUSG00000056822","Olfr166"
"102465962","ENSMUSG00000098448","Mir6362"
"102632430","ENSMUSG00000116831","Gm30505"
"69576","ENSMUSG00000046345","Smco1"
"278725","ENSMUSG00000116665","E130310I04Rik"
"627962","ENSMUSG00000116872","Gm6815"
"67657","ENSMUSG00000022827","Rabl3"
"626693","ENSMUSG00000085499","Gm15713"
"100503378","ENSMUSG00000085826","Gm15638"
"259003","ENSMUSG00000071510","Olfr172"
"258999","ENSMUSG00000044029","Olfr178"
"258392","ENSMUSG00000064006","Olfr190"
"257972","ENSMUSG00000060057","Olfr193"
"404310","ENSMUSG00000074996","Olfr199"
"258996","ENSMUSG00000074995","Olfr201"
"100038614","ENSMUSG00000115518","Gm10791"
"16699","ENSMUSG00000050224","Krtap13"
"69696","ENSMUSG00000048830","2310057N15Rik"
"23927","ENSMUSG00000074928","Krtap14"
"68740","ENSMUSG00000095992","Krtap22-2"
"100040214","ENSMUSG00000068074","Gm10228"
"68484","ENSMUSG00000062400","Krtap6-5"
"67394","ENSMUSG00000087354","4930404I05Rik"
"16509","ENSMUSG00000039639","Kcne1"
"791074","ENSMUSG00000076457","Mir802"
"102633000","ENSMUSG00000097768","2310043M15Rik"
"16415","ENSMUSG00000000157","Itgb2l"
"621628","ENSMUSG00000091530","Cldn20"
"100216474","ENSMUSG00000079722","Ttll2"
"100041586","ENSMUSG00000116780","Gm3417"
"21374","ENSMUSG00000014767","Tbp"
"14294","ENSMUSG00000079700","Fpr3"
"665210","ENSMUSG00000091206","Vmn2r91"
"212733","ENSMUSG00000043782","Bicdl2"
"638247","ENSMUSG00000097006","9530082P21Rik"
"13184","ENSMUSG00000096445","Dcpp1"
"328778","ENSMUSG00000079657","Rab26"
"66211","ENSMUSG00000002500","Rpl3l"
"193838","ENSMUSG00000073436","Eme2"
"102636737","ENSMUSG00000117437","Gm33727"
"56424","ENSMUSG00000039615","Stub1"
"214951","ENSMUSG00000025735","Rhbdl1"
"100034748","ENSMUSG00000025727","A930017K11Rik"
"67675","ENSMUSG00000024194","Cuta"
"102465779","ENSMUSG00000098826","Mir7677"
"102465700","ENSMUSG00000105142","Mir7214"
"111241","ENSMUSG00000078249","Hmga1b"
"328788","ENSMUSG00000024224","Clpsl2"
"442827","ENSMUSG00000064147","Rab44"
"21786","ENSMUSG00000024029","Tff3"
"140765","ENSMUSG00000024034","Tmprss3"
"631304","ENSMUSG00000090700","Cyp4f40"
"378460","ENSMUSG00000032739","Pram1"
"474160","ENSMUSG00000092349","Smim40"
"54218","ENSMUSG00000067370","B3galt4"
"102466848","ENSMUSG00000105964","Mir219c"
"14979","ENSMUSG00000073422","H2-Ke6"
"414076","ENSMUSG00000098197","BC051537"
"15000","ENSMUSG00000037548","H2-DMb2"
"21354","ENSMUSG00000037321","Tap1"
"13079","ENSMUSG00000024365","Cyp21a1"
"108077","ENSMUSG00000040356","Skiv2l"
"14962","ENSMUSG00000090231","Cfb"
"114654","ENSMUSG00000073413","Ly6g6d"
"114585","ENSMUSG00000043311","D17H6S53E"
"14964","ENSMUSG00000073411","H2-D1"
