"Id","Label","Degree","Betweenness","Expression"
"ENSMUSP00000002532","Rgs19",6,10.11,0
"ENSMUSP00000030905","Ssu72",6,9.9,0
"ENSMUSP00000073701","Mbd2",6,5.51,0
"ENSMUSP00000027797","Nvl",6,0.13,0
"ENSMUSP00000025142","Esco1",6,0.12,0
"ENSMUSP00000017354","Med24",6,0,0
"ENSMUSP00000046540","Nup54",6,0,0
"ENSMUSP00000024988","C3",5,9087,0
"ENSMUSP00000044048","Mcl1",5,7341.46,0
"ENSMUSP00000033093","Bax",5,6810.73,0
"ENSMUSP00000099364","Nsf",5,5941.11,0
"ENSMUSP00000111479","Pik3c3",5,5456.52,0
"ENSMUSP00000099819","Vdac1",5,5069,0
"ENSMUSP00000029316","Exosc8",5,4053,0
"ENSMUSP00000072481","Tle1",5,3473.25,0
"ENSMUSP00000075067","Npm1",5,3303,0
"ENSMUSP00000018337","Cdc73",5,3228.65,0
"ENSMUSP00000039600","Ccl5",5,3044.17,0
"ENSMUSP00000063734","Ezr",5,2925.49,0
"ENSMUSP00000027015","Casp1",5,2857.21,0
"ENSMUSP00000052262","Vamp7",5,2443.08,0
"ENSMUSP00000100979","Tcf3",5,2324.74,0
"ENSMUSP00000025241","Ercc3",5,2299.03,0
"ENSMUSP00000021077","Slc9a3r1",5,2288.25,0
"ENSMUSP00000025263","Tnf",5,2009.96,0
"ENSMUSP00000114074","Sgk1",5,1633.9,0
"ENSMUSP00000003912","Calr",5,1608.22,0
"ENSMUSP00000026436","Baiap2",5,1359.58,0
"ENSMUSP00000023689","Ifnar1",5,1261.17,0
"ENSMUSP00000001547","Col1a1",5,1202.32,0
"ENSMUSP00000031668","Col1a2",5,1202.32,0
"ENSMUSP00000051809","Rictor",5,1180.77,0
"ENSMUSP00000088047","Cry2",5,1173.66,0
"ENSMUSP00000121111","Map2k2",5,1147.03,0
"ENSMUSP00000124428","Spcs1",5,1023.29,0
"ENSMUSP00000048836","C1qa",5,1018.33,0
"ENSMUSP00000125531","C1s1",5,1007.83,0
"ENSMUSP00000003152","Stk11",5,923.5,0
"ENSMUSP00000029842","Bcl10",5,850.75,0
"ENSMUSP00000099652","Tjp1",5,843.24,0
"ENSMUSP00000002839","Ppp2r5d",5,837.64,0
"ENSMUSP00000035900","Bmpr1a",5,721.52,0
"ENSMUSP00000032143","Rpn1",5,654.58,0
"ENSMUSP00000030538","Ddost",5,641.62,0
"ENSMUSP00000002818","Ykt6",5,553.89,0
"ENSMUSP00000027587","Ccnt2",5,404.1,0
"ENSMUSP00000066210","Tceb2",5,387.95,0
"ENSMUSP00000019975","Wasf1",5,289.38,0
"ENSMUSP00000014499","Anapc1",5,279.18,0
"ENSMUSP00000031072","Anapc4",5,279.18,0
"ENSMUSP00000076933","Arpc5",5,278.42,0
"ENSMUSP00000114839","Arpc4",5,278.42,0
"ENSMUSP00000034029","Ednra",5,233.76,0
"ENSMUSP00000127952","Tfdp1",5,159.92,0
"ENSMUSP00000038833","Ripk2",5,147.9,0
"ENSMUSP00000001836","Pwp1",5,121.26,0
"ENSMUSP00000070466","Tagap1",5,92.76,0
